text,category,sentiment,priority,tamil,tanglish,translation_status,model
How long will it take to have my card mailed to me?,card_delivery_estimate,Neutral,Low,எனது அட்டை எனக்கு தபாலில் அனுப்பப்பட எவ்வளவு காலம் எடுக்கும்?,enoda card enaku post la vara evlo naal aagum?,completed,gemini-3.5-flash
Can cards be dispatched on a specific date?,card_delivery_estimate,Neutral,Low,அட்டைகளை ஒரு குறிப்பிட்ட தேதியில் அனுப்ப முடியுமா?,cards ah oru kurippitta date la dispatch panna mudiyuma?,completed,gemini-3.5-flash
Can I have it by a certain date?,card_delivery_estimate,Positive,Low,ஒரு குறிப்பிட்ட தேதிக்குள் அதை நான் பெற்றுக்கொள்ள முடியுமா?,oru kurippitta date kulla athai naan vaanga mudiyuma?,completed,gemini-3.5-flash
I need my card as quick as possible,card_delivery_estimate,Neutral,Low,எனது அட்டை எனக்கு கூடிய விரைவில் தேவை,enoda card enaku evlo seekiram mudiyumo avlo seekiram venum,completed,gemini-3.5-flash
How long will it take my card to get here?,card_delivery_estimate,Neutral,Low,எனது அட்டை இங்கு வந்து சேர எவ்வளவு காலம் எடுக்கும்?,enoda card inge vara evlo naal aagum?,completed,gemini-3.5-flash
Is there a specific date it can be delivered by?,card_delivery_estimate,Neutral,Low,அதை விநியோகிக்கக்கூடிய ஒரு குறிப்பிட்ட தேதி ஏதும் உள்ளதா?,athai delivery panna ethavathu kurippitta date irukka?,completed,gemini-3.5-flash
I need my card to be delivered fast,card_delivery_estimate,Neutral,Low,எனது அட்டை விரைவாக விநியோகிக்கப்பட வேண்டும்,enoda card seekiram delivery aaganum,completed,gemini-3.5-flash
Is there a specific date i can have it delivered?,card_delivery_estimate,Neutral,Low,நான் அதை ஒரு குறிப்பிட்ட தேதியில் விநியோகம் செய்ய முடியுமா?,naan athai oru kurippitta date la delivery panna mudiyuma?,completed,gemini-3.5-flash
How long will it take to deliver to the US?,card_delivery_estimate,Neutral,Low,அமெரிக்காவிற்கு விநியோகிக்க எவ்வளவு காலம் எடுக்கும்?,US ku delivery panna evlo naal aagum?,completed,gemini-3.5-flash
I need my card ASAP!,card_delivery_estimate,Neutral,Low,எனது அட்டை எனக்கு உடனடியாகத் தேவை!,enoda card enaku udane venum!,completed,gemini-3.5-flash
How long will it take to get to the US?,card_delivery_estimate,Neutral,Low,அமெரிக்காவைச் சென்றடைய எவ்வளவு காலம் எடுக்கும்?,US ku poga evlo naal aagum?,completed,gemini-3.5-flash
How soon will I get my card?,card_delivery_estimate,Neutral,Low,எனது அட்டையை நான் எவ்வளவு விரைவில் பெற்றுக்கொள்வேன்?,enoda card enaku evlo seekiram kedaikkum?,completed,gemini-3.5-flash
What is the estimated date for delivery to US?,card_delivery_estimate,Neutral,Low,அமெரிக்காவிற்கு விநியோகிப்பதற்கான மதிப்பிடப்பட்ட தேதி என்ன?,US ku delivery panna ethirpaarkira date enna?,completed,gemini-3.5-flash
How long does it take for the card to come?,card_delivery_estimate,Neutral,Low,அட்டை வந்து சேர எவ்வளவு காலம் எடுக்கும்?,card vanthu sera evlo naal aagum?,completed,gemini-3.5-flash
When will I receive the card?,card_delivery_estimate,Neutral,Low,நான் எப்போது அட்டையைப் பெற்றுக்கொள்வேன்?,naan epo card ah receive pannuven?,completed,gemini-3.5-flash
When should I expect my card to arrive?,card_delivery_estimate,Neutral,Low,எனது அட்டை எப்போது வந்து சேரும் என்று நான் எதிர்பார்க்க வேண்டும்?,enoda card epo varum nu naan ethirpaarkanum?,completed,gemini-3.5-flash
Can I pay more to get it deliver quicker?,card_delivery_estimate,Positive,Low,அதை விரைவாக விநியோகிக்க நான் கூடுதல் பணம் செலுத்தலாமா?,seekiram delivery panna naan kooduthal kaasu tharalama?,completed,gemini-3.5-flash
How long is the delivery to the US?,card_delivery_estimate,Neutral,Low,அமெரிக்காவிற்கான விநியோக காலம் எவ்வளவு?,US ku delivery panna evlo naal aagum?,completed,gemini-3.5-flash
Send me my card now! ASAP,card_delivery_estimate,Neutral,Low,எனது அட்டையை இப்போது எனக்கு அனுப்புங்கள்! உடனடியாக,enoda card ah ippo enaku anupunga! udane,completed,gemini-3.5-flash
"I haven't received my card yet, how long does it normally take?",card_delivery_estimate,Neutral,Low,"எனக்கு இன்னும் எனது அட்டை கிடைக்கவில்லை, பொதுவாக இதற்கு எவ்வளவு காலம் எடுக்கும்?","enaku innum card kedaikala, normal ah ithuku evlo naal aagum?",completed,gemini-3.5-flash
How long is US delivery?,card_delivery_estimate,Neutral,Low,அமெரிக்காவிற்கான விநியோகத்திற்கு எவ்வளவு காலம் எடுக்கும்?,US delivery ku evlo naal aagum?,completed,gemini-3.5-flash
can you express my card to me?,card_delivery_estimate,Neutral,Low,எனது அட்டையை எனக்கு விரைவுத் தபாலில் அனுப்ப முடியுமா?,enoda card ah enaku express ah anuppa mudiyuma?,completed,gemini-3.5-flash
When will it get delivered?,card_delivery_estimate,Neutral,Low,அது எப்போது விநியோகிக்கப்படும்?,athu epo delivery aagum?,completed,gemini-3.5-flash
how soon will my card arrive?,card_delivery_estimate,Neutral,Low,எனது அட்டை எவ்வளவு விரைவில் வந்து சேரும்?,enoda card evlo seekiram vanthu serum?,completed,gemini-3.5-flash
I ordered my card a couple weeks ago and haven't received it yet. When can I expect it?,card_delivery_estimate,Neutral,Low,"நான் எனது அட்டையை சில வாரங்களுக்கு முன்பு முன்பதிவு செய்தேன், ஆனால் இன்னும் கிடைக்கவில்லை. அதை நான் எப்போது எதிர்பார்க்கலாம்?","naan rendu vaarathuku munnadi card order pannen, innum kedaikala. epo varum nu ethirpaarkalam?",completed,gemini-3.5-flash
How long does it take for cards to be delivered after ordering them?,card_delivery_estimate,Neutral,Low,அட்டைகளை முன்பதிவு செய்த பின்னர் அவை விநியோகிக்கப்பட எவ்வளவு காலம் எடுக்கும்?,cards order panna piragu delivery aaga evlo naal aagum?,completed,gemini-3.5-flash
"If I need delivery on a certain day, is that something that could be accommodated?",card_delivery_estimate,Positive,Low,"எனக்கு ஒரு குறிப்பிட்ட நாளில் விநியோகம் தேவைப்பட்டால், அதைச் செய்ய முடியுமா?","enaku oru kurippitta naal la delivery venum na, athu panna mudiyuma?",completed,gemini-3.5-flash
how much to get my card in 2 days?,card_delivery_estimate,Neutral,Low,எனது அட்டையை 2 நாட்களில் பெற்றுக்கொள்ள எவ்வளவு செலுத்த வேண்டும்?,2 days la card vaanga evlo kaasu aagum?,completed,gemini-3.5-flash
When are cards shipped?,card_delivery_estimate,Neutral,Low,அட்டைகள் எப்போது அனுப்பி வைக்கப்படும்?,cards epo ship pannuvanga?,completed,gemini-3.5-flash
My card is needed soon,card_delivery_estimate,Neutral,Low,எனது அட்டை விரைவில் தேவைப்படுகிறது,enoda card seekiram venum,completed,gemini-3.5-flash
What is the delivery time for US?,card_delivery_estimate,Neutral,Low,அமெரிக்காவிற்கான விநியோக நேரம் என்ன?,US ku delivery time enna?,completed,gemini-3.5-flash
I placed my order a week ago. Is it ok that my card isn't here yet?,card_delivery_estimate,Positive,Low,நான் ஒரு வாரத்திற்கு முன்பு முன்பதிவு செய்தேன். எனது அட்டை இன்னும் இங்கு வராதது சாதாரணமானதா?,naan oru vaarathuku munnadi order pannen. enoda card innum varathathu ok thaana?,completed,gemini-3.5-flash
How soon do cards arrive after I order them?,card_delivery_estimate,Neutral,Low,நான் கார்டுகளை ஓடர் செய்த பிறகு அவை எவ்வளவு சீக்கிரம் வந்து சேரும்?,Naan card order panna piragu evlo seekiram vandhu serum?,completed,gemini-3.5-flash
How will I get my card?,card_delivery_estimate,Neutral,Low,எனது கார்டை நான் எவ்வாறு பெற்றுக்கொள்வேன்?,Enoda card enaku eppadi kidaikkum?,completed,gemini-3.5-flash
How long does it take to receive my card?,card_delivery_estimate,Neutral,Low,எனது கார்டைப் பெற்றுக்கொள்ள எவ்வளவு காலம் எடுக்கும்?,Enoda card-ai vanga evlo naal aagum?,completed,gemini-3.5-flash
How long until the card arrives?,card_delivery_estimate,Neutral,Low,கார்ட் வந்து சேர எவ்வளவு காலம் ஆகும்?,Card vandhu sera evlo naal aagum?,completed,gemini-3.5-flash
Can I have my card delivered on Tuesday?,card_delivery_estimate,Neutral,Low,எனது கார்டை செவ்வாய்க்கிழமை டெலிவரி செய்ய முடியுமா?,Enoda card-ai chevvaikilamai delivery seyya mudiyuma?,completed,gemini-3.5-flash
Can you tell me how long it takes for a new card to come?,card_delivery_estimate,Neutral,Low,புதிய கார்ட் வந்து சேர எவ்வளவு காலம் எடுக்கும் என்று கூற முடியுமா?,Pudhu card vara evlo naal aagum nu solla mudiyuma?,completed,gemini-3.5-flash
i need to add express delivery if that's an option,card_delivery_estimate,Neutral,Low,"எக்ஸ்பிரஸ் டெலிவரி வசதி இருந்தால், அதை நான் சேர்க்க வேண்டும்.","Express delivery option irundha, adhai add panna venum.",completed,gemini-3.5-flash
I need my card right away.,card_delivery_estimate,Positive,Low,எனக்கு எனது கார்ட் உடனடியாகத் தேவை.,Enaku enoda card udane venum.,completed,gemini-3.5-flash
Can i choose a specific delivery date?,card_delivery_estimate,Neutral,Low,நான் ஒரு குறிப்பிட்ட டெலிவரி திகதியைத் தேர்ந்தெடுக்க முடியுமா?,Naan oru kurippitta delivery date-ai select panna mudiyuma?,completed,gemini-3.5-flash
When will I get my card shipped to me?,card_delivery_estimate,Neutral,Low,எனது கார்ட் எனக்கு எப்போது அனுப்பி வைக்கப்படும்?,Enoda card enaku eppo ship panni varum?,completed,gemini-3.5-flash
Do I have a say when it's delivered?,card_delivery_estimate,Neutral,Low,அது எப்போது டெலிவரி செய்யப்பட வேண்டும் என்பதை நான் தீர்மானிக்க முடியுமா?,Adhu eppo delivery aaganum nu naan mudivu panna mudiyuma?,completed,gemini-3.5-flash
I need my card delivered as soon as possible.,card_delivery_estimate,Neutral,Low,எனது கார்ட் எவ்வளவு சீக்கிரம் முடியுமோ அவ்வளவு சீக்கிரம் டெலிவரி செய்யப்பட வேண்டும்.,Enoda card-ai evlo seekiram mudiyumo avlo seekiram delivery panna venum.,completed,gemini-3.5-flash
I would like to make sure it is delivered on a certain date.,card_delivery_estimate,Positive,Low,அது ஒரு குறிப்பிட்ட திகதியில் டெலிவரி செய்யப்படுவதை உறுதிப்படுத்த விரும்புகிறேன்.,Adhu oru kurippitta date-la delivery aaguradhai confirm panna virumburen.,completed,gemini-3.5-flash
When will I receive my card?,card_delivery_estimate,Neutral,Low,எனது கார்டை நான் எப்போது பெற்றுக்கொள்வேன்?,Enoda card enaku eppo kidaikkum?,completed,gemini-3.5-flash
Could I chose the date to have it delivered?,card_delivery_estimate,Neutral,Low,டெலிவரி செய்யப்பட வேண்டிய திகதியை நான் தேர்ந்தெடுக்க முடியுமா?,Delivery panna vendiya date-ai naan select panna mudiyuma?,completed,gemini-3.5-flash
How long does it take for a card to arrive?,card_delivery_estimate,Neutral,Low,ஒரு கார்ட் வந்து சேர எவ்வளவு காலம் எடுக்கும்?,Oru card vandhu sera evlo naal aagum?,completed,gemini-3.5-flash
Will my card be here soon?,card_delivery_estimate,Neutral,Low,எனது கார்ட் விரைவில் இங்கு வந்துவிடுமா?,Enoda card seekiram vandhuduma?,completed,gemini-3.5-flash
Please send my card as quickly as possible.,card_delivery_estimate,Neutral,Low,தயவுசெய்து எனது கார்டை எவ்வளவு விரைவாக முடியுமோ அவ்வளவு விரைவாக அனுப்பவும்.,Dayavu seidhu enoda card-ai evlo seekiram mudiyumo avlo seekiram anuppunga.,completed,gemini-3.5-flash
how long does it take to get my card i am in a rush,card_delivery_estimate,Neutral,Low,எனது கார்டைப் பெற எவ்வளவு காலம் ஆகும்? நான் அவசரத்தில் இருக்கிறேன்.,Enoda card-ai vanga evlo naal aagum? Naan avasarathula irukken.,completed,gemini-3.5-flash
When can I expect to receive my card?,card_delivery_estimate,Neutral,Low,எனது கார்டை நான் எப்போது பெற்றுக்கொள்ளலாம் என எதிர்பார்க்கலாம்?,Enoda card eppo kidaikkum nu naan ethirpaarkalam?,completed,gemini-3.5-flash
Are the delivery days flexible?  My schedule only allows me to be a available on specific dates.,card_delivery_estimate,Neutral,Low,டெலிவரி நாட்கள் நெகிழ்வுத்தன்மை கொண்டவையா? எனது அட்டவணை குறிப்பிட்ட திகதிகளில் மட்டுமே நான் இருக்க அனுமதிக்கிறது.,Delivery days flexible-aa? Enoda schedule padi naan kurippitta dates-la mattum thaan irukka mudiyum.,completed,gemini-3.5-flash
How many days to deliver to a US customer?,card_delivery_estimate,Positive,Low,அமெரிக்க வாடிக்கையாளருக்கு டெலிவரி செய்ய எத்தனை நாட்கள் ஆகும்?,US customer-ku delivery panna ethana naal aagum?,completed,gemini-3.5-flash
When can I expect my new card to get here?,card_delivery_estimate,Neutral,Low,எனது புதிய கார்ட் எப்போது இங்கு வரும் என்று எதிர்பார்க்கலாம்?,Enoda pudhu card eppo inga varum nu ethirpaarkalam?,completed,gemini-3.5-flash
How long are deliveries to the US?,card_delivery_estimate,Neutral,Low,அமெரிக்காவிற்கான டெலிவரிகளுக்கு எவ்வளவு காலம் எடுக்கும்?,US-rkana delivery-ku evlo naal aagum?,completed,gemini-3.5-flash
Can it be delivered on a certain date?,card_delivery_estimate,Positive,Low,அதை ஒரு குறிப்பிட்ட திகதியில் டெலிவரி செய்ய முடியுமா?,Adhai oru kurippitta date-la delivery panna mudiyuma?,completed,gemini-3.5-flash
What is delivery speed to the United States?,card_delivery_estimate,Neutral,Low,அமெரிக்காவிற்கான டெலிவரி வேகம் என்ன?,US-rkana delivery speed enna?,completed,gemini-3.5-flash
How long does it take for something to be delivered to the U.S?,card_delivery_estimate,Neutral,Low,அமெரிக்காவிற்கு ஏதேனும் ஒன்றை டெலிவரி செய்ய எவ்வளவு காலம் எடுக்கும்?,US-ku edhavadhu delivery panna evlo naal aagum?,completed,gemini-3.5-flash
How long does it take for my physical card to be delivered.,card_delivery_estimate,Neutral,Low,எனது பிசிக்கல் கார்ட் டெலிவரி செய்யப்பட எவ்வளவு காலம் எடுக்கும்?,Enoda physical card delivery aaga evlo naal aagum?,completed,gemini-3.5-flash
what is the leadtime for a new card to show up in the mail?,card_delivery_estimate,Neutral,Low,தபாலில் புதிய கார்ட் வருவதற்கு எவ்வளவு காலம் எடுக்கும்?,Post-la pudhu card varadhuku evlo naal aagum?,completed,gemini-3.5-flash
What's the earliest time to receive my card?,card_delivery_estimate,Neutral,Low,எனது கார்டைப் பெற்றுக்கொள்ளக்கூடிய மிக விரைவான நேரம் எது?,Enoda card-ai vanga koodiya miga seekiramana neram edhu?,completed,gemini-3.5-flash
are you sending me my card?,card_delivery_estimate,Neutral,Low,நீங்கள் எனது கார்டை எனக்கு அனுப்புகிறீர்களா?,Neenga enoda card-ai enaku anupureegala?,completed,gemini-3.5-flash
I need my card immediately.,card_delivery_estimate,Neutral,Low,எனக்கு எனது கார்ட் உடனடியாகத் தேவை.,Enaku enoda card udane venum.,completed,gemini-3.5-flash
When will it be delivered to the US?,card_delivery_estimate,Neutral,Low,அது எப்போது அமெரிக்காவிற்கு டெலிவரி செய்யப்படும்?,Adhu eppo US-ku delivery aagum?,completed,gemini-3.5-flash
Can I add money automatically to my account while traveling?,automatic_top_up,Neutral,Low,நான் பயணம் செய்யும்போது எனது கணக்கில் தானாகவே பணம் சேர்க்க முடியுமா?,Naan travel pannum podhu enoda account-la auto-va kaasu add panna mudiyuma?,completed,gemini-3.5-flash
i need help finding the auto top up option.,automatic_top_up,Positive,Low,ஆட்டோ டாப்-அப் தெரிவைக் கண்டறிய எனக்கு உதவி தேவை.,Auto top-up option-ai kandupidikka enaku udhavi venum.,completed,gemini-3.5-flash
What are the maximum amount you can do for auto top-up?,automatic_top_up,Neutral,Low,ஆட்டோ டாப்-அப்பிற்கு நீங்கள் செய்யக்கூடிய அதிகபட்ச தொகை என்ன?,Auto top-up-ku panna koodiya maximum amount enna?,completed,gemini-3.5-flash
I can't find the auto-top up option.,automatic_top_up,Neutral,Low,என்னால் ஆட்டோ டாப்-அப் தெரிவைக் கண்டறிய முடியவில்லை.,Ennala auto top-up option-ai kandupidikka mudiyala.,completed,gemini-3.5-flash
Does the auto top-up have any limits?,automatic_top_up,Neutral,Low,ஆட்டோ டாப்-அப்பிற்கு ஏதேனும் வரம்புகள் உண்டா?,Auto top-up-ku edhavadhu limits irukka?,completed,gemini-3.5-flash
When do i activate auto top-up?,automatic_top_up,Neutral,Low,நான் எப்போது ஆட்டோ டாப்-அப்பைச் செயல்படுத்த வேண்டும்?,Naan eppo auto top-up-ai activate panna venum?,completed,gemini-3.5-flash
Can I have money transferred into my account at different intervals along my trip?,automatic_top_up,Neutral,Low,எனது பயணத்தின் போது வெவ்வேறு இடைவெளிகளில் எனது கணக்கிற்குப் பணத்தை மாற்ற முடியுமா?,Enoda travel-in podhu vera vera intervals-la enoda account-ku kaasu transfer panna mudiyuma?,completed,gemini-3.5-flash
"I going to be traveling, can I set up auto top-up if I run low on money?",automatic_top_up,Neutral,Low,"நான் பிரயாணம் செய்யப் போகிறேன், என்னிடம் காசு குறையும் போது தானியங்கி டொப்-அப் (auto top-up) வசதியை ஒழுங்கு செய்ய முடியுமா?","naan travel panna poren, kaasu kurayum pothu auto top-up set panna mudiyuma?",completed,gemini-3.5-flash
Is there an automatic top up feature?,automatic_top_up,Positive,Low,தானியங்கி டொப்-அப் (automatic top up) வசதி இருக்கிறதா?,automatic top up feature irukatha?,completed,gemini-3.5-flash
Can I have my account add money automatically in certain intervals?,automatic_top_up,Positive,Low,குறிப்பிட்ட இடைவெளிகளில் எனது கணக்கில் தானாகவே பணம் சேர்க்கப்பட முடியுமா?,kurippitta idaiveligalil enoda accountla thaanave panam add panna mudiyuma?,completed,gemini-3.5-flash
Is there a daily auto top-up limit?,automatic_top_up,Neutral,Low,தினசரி தானியங்கி டாப்-அப் எல்லை ஏதும் உள்ளதா?,daily auto top-up limit ethuvum irukka?,completed,gemini-3.5-flash
How do I access the option to top up?,automatic_top_up,Positive,Low,டாப்-அப் செய்வதற்கான தெரிவை நான் எவ்வாறு அணுகுவது?,top up panra option-a naan eppadi access panrathu?,completed,gemini-3.5-flash
I will be traveling.  Can I add money automatically?,automatic_top_up,Neutral,Low,நான் பிரயாணம் செய்யவுள்ளேன். என்னால் தானாகவே பணம் சேர்க்க முடியுமா?,naan travel panna poren. ennala thaanave panam add panna mudiyuma?,completed,gemini-3.5-flash
How low does the balance have to be before the system updates?,automatic_top_up,Neutral,Low,சிஸ்டம் புதுப்பிக்கப்படுவதற்கு முன்னர் மீதித்தொகை எவ்வளவு குறைவாக இருக்க வேண்டும்?,system update aagurathukku munnadi balance evvalavu kuraiva irukkanum?,completed,gemini-3.5-flash
Is there a auto top-up option?,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப் தெரிவு ஏதும் உள்ளதா?,auto top-up option ethuvum irukka?,completed,gemini-3.5-flash
How do i set up auto top-up?,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப்பை நான் எவ்வாறு அமைப்பது?,auto top-up eppadi set up panrathu?,completed,gemini-3.5-flash
"If there isn't much money left over, will it top-up automatically?",automatic_top_up,Neutral,Low,"அதிக பணம் மீதம் இல்லை என்றால், அது தானாகவே டாப்-அப் செய்யுமா?","athiga panam balance illati, athu thaanave top-up aaguma?",completed,gemini-3.5-flash
Do I need to set a limit on auto top-up?,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப்பிற்கு நான் ஓர் எல்லையை நிர்ணயிக்க வேண்டுமா?,auto top-up-ku naan limit set panna venuma?,completed,gemini-3.5-flash
can you top up your account automatically,automatic_top_up,Positive,Low,உங்கள் கணக்கை உங்களால் தானாகவே டாப்-அப் செய்ய முடியுமா?,unga account-a ungalala thaanave top up panna mudiyuma?,completed,gemini-3.5-flash
Can I add money to my card automatically during a trip?,automatic_top_up,Neutral,Low,பிரயாணத்தின் போது எனது அட்டையில் தானாகவே பணம் சேர்க்க முடியுமா?,travel panra appo enoda card-la thaanave panam add panna mudiyuma?,completed,gemini-3.5-flash
Is an auto top-up option available?,automatic_top_up,Positive,Low,தானியங்கி டாப்-அப் தெரிவு கிடைக்கிறதா?,auto top-up option available-ah irukka?,completed,gemini-3.5-flash
Can I auto top if I'm low on funds?,automatic_top_up,Positive,Low,என்னிடம் பணம் குறைவாக இருந்தால் என்னால் தானியங்கி டாப்-அப் செய்ய முடியுமா?,en kitta panam kuraiva iruntha ennala auto top up panna mudiyuma?,completed,gemini-3.5-flash
Tell me where I can find the auto top up feature and a little bit about it please.,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப் வசதியை நான் எங்கே காணலாம் என்றும் அதைப்பற்றி கொஞ்சம் கூறுங்கள்.,"auto top up feature enga irukku nu sollunga, athypathi konjam sollunga please.",completed,gemini-3.5-flash
How do I start auto top up?,automatic_top_up,Positive,Low,தானியங்கி டாப்-அப்பை நான் எவ்வாறு தொடங்குவது?,auto top up eppadi start panrathu?,completed,gemini-3.5-flash
I am inquiring about your auto top up feature.,automatic_top_up,Positive,Low,நான் உங்கள் தானியங்கி டாப்-அப் வசதி பற்றி விசாரிக்கிறேன்.,naan unga auto top up feature pathi thaan kekkuren.,completed,gemini-3.5-flash
Can i set up an auto top-up?,automatic_top_up,Neutral,Low,என்னால் தானியங்கி டாப்-அப்பை அமைக்க முடியுமா?,ennala auto top-up set panna mudiyuma?,completed,gemini-3.5-flash
Are there any limit on the auto top-up?,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப்பிற்கு ஏதேனும் எல்லை உள்ளதா?,auto top-up-ku ethuvum limit irukka?,completed,gemini-3.5-flash
Is it possible to do auto top up?,automatic_top_up,Positive,Low,தானியங்கி டாப்-அப் செய்ய முடியுமா?,auto top up panna mudiyuma?,completed,gemini-3.5-flash
is there a way to do automatic top up,automatic_top_up,Positive,Low,தானியங்கி டாப்-அப் செய்வதற்கு ஏதேனும் வழி உள்ளதா?,automatic top up panrathukku ethavathu vazhi irukka?,completed,gemini-3.5-flash
I would like to top up my account automatically. How do I do that?,automatic_top_up,Positive,Low,எனது கணக்கை தானாகவே டாப்-அப் செய்ய விரும்புகிறேன். அதை நான் எவ்வாறு செய்வது?,enoda account-a thaanave top up panna virumburen. athai eppadi panrathu?,completed,gemini-3.5-flash
I want to set up an auto top-up,automatic_top_up,Neutral,Low,நான் தானியங்கி டாப்-அப்பை அமைக்க விரும்புகிறேன்.,naan auto top-up set panna virumburen.,completed,gemini-3.5-flash
If I don't have much money in the account can I auto top-up?,automatic_top_up,Neutral,Low,"கணக்கில் அதிக பணம் இல்லை என்றால், என்னால் தானியங்கி டாப்-அப் செய்ய முடியுமா?","account-la athiga panam illati, ennala auto top-up panna mudiyuma?",completed,gemini-3.5-flash
Can I schedule future top ups?,automatic_top_up,Positive,Low,எதிர்கால டாப்-அப்களை என்னால் திட்டமிட முடியுமா?,future top ups-a ennala schedule panna mudiyuma?,completed,gemini-3.5-flash
Can I set automatic top ups?,automatic_top_up,Positive,Low,என்னால் தானியங்கி டாப்-அப்களை அமைக்க முடியுமா?,ennala automatic top ups set panna mudiyuma?,completed,gemini-3.5-flash
I need to know the if there is a limit on the amount for auto top-up.,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப் தொகைக்கு ஏதேனும் எல்லை உள்ளதா என்பதை நான் அறிய வேண்டும்.,auto top-up amount-ku ethavathu limit irukka nu naan therinjukanum.,completed,gemini-3.5-flash
Can I set up to my account to automatically top up?,automatic_top_up,Positive,Low,எனது கணக்கை தானாகவே டாப்-அப் செய்யும்படி அமைக்க முடியுமா?,enoda account-a thaanave top up aagura mathiri set panna mudiyuma?,completed,gemini-3.5-flash
Does the app top up automatically?,automatic_top_up,Positive,Low,செயலி (app) தானாகவே டாப்-அப் செய்யுமா?,app thaanave top up pannuma?,completed,gemini-3.5-flash
"If there isn't a lot of money left, will it automatically top-up money?",automatic_top_up,Neutral,Low,"அதிக பணம் மீதம் இல்லை என்றால், அது தானாகவே பணத்தை டாப்-அப் செய்யுமா?","athiga panam balance illati, athu thaanave panatha top-up pannuma?",completed,gemini-3.5-flash
In what increments can I top-up my card?,automatic_top_up,Neutral,Low,எனது அட்டையை நான் எந்தெந்த அளவுகளில் டாப்-அப் செய்ய முடியும்?,enoda card-a naan entha increments-la top-up panna mudiyum?,completed,gemini-3.5-flash
Does auto top-up have a limit?,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப்பிற்கு எல்லை உள்ளதா?,auto top-up-ku limit irukka?,completed,gemini-3.5-flash
If I am running low on credit can I auto top up?,automatic_top_up,Positive,Low,என்னிடம் பணம் குறைவாக இருந்தால் என்னால் தானியங்கி டாப்-அப் செய்ய முடியுமா?,en kitta balance kuraiva iruntha ennala auto top up panna mudiyuma?,completed,gemini-3.5-flash
Is there an auto top up feature?,automatic_top_up,Positive,Low,தானியங்கி டாப்-அப் வசதி உள்ளதா?,auto top up feature irukka?,completed,gemini-3.5-flash
Is there such thing as an auto top-up option?,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப் தெரிவு என்று ஒன்று உள்ளதா?,auto top-up option nu ethavathu irukka?,completed,gemini-3.5-flash
How can I Use thereto-top option?,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப் தெரிவை நான் எவ்வாறு பயன்படுத்துவது?,auto-top option-a naan eppadi use panrathu?,completed,gemini-3.5-flash
when i travel can it top up automatically,automatic_top_up,Positive,Low,நான் பிரயாணம் செய்யும்போது அது தானாகவே டாப்-அப் செய்யுமா?,naan travel pannumpothu athu thaanave top up pannuma?,completed,gemini-3.5-flash
Is there an auto top up option?,automatic_top_up,Positive,Low,தானியங்கி டாப்-அப் தெரிவு உள்ளதா?,auto top up option irukka?,completed,gemini-3.5-flash
Where do I find the auto top- up?,automatic_top_up,Positive,Low,தானியங்கி டாப்-அப்பை நான் எங்கே காண்பது?,auto top-up-a naan enga kandupidikirathu?,completed,gemini-3.5-flash
How can I add money automatically?,automatic_top_up,Neutral,Low,நான் எவ்வாறு தானாகவே பணம் சேர்ப்பது?,naan eppadi thaanave panam add panrathu?,completed,gemini-3.5-flash
Where can I located the auto-top up option?,automatic_top_up,Neutral,Low,தானியங்கி டாப்-அப் தெரிவை நான் எங்கே கண்டறியலாம்?,auto-top up option-a naan enga kandupidikkalam?,completed,gemini-3.5-flash
"I'm going to travel, can I have it add money automatically in certain intervals?",automatic_top_up,Positive,Low,"நான் பிரயாணம் செய்யப் போகிறேன், குறிப்பிட்ட இடைவெளிகளில் தானாகவே பணம் சேர்க்கும்படி செய்ய முடியுமா?","Naan travel panna poren, kurippitta idaiveligalil thaanaave panam serkkumpadi seyya mudiyuma?",completed,gemini-3.5-flash
I will be traveling and want money to be added automatically in certain intervals. Is this possible?,automatic_top_up,Neutral,Low,"நான் பிரயாணம் செய்யவிருக்கிறேன், குறிப்பிட்ட இடைவெளிகளில் தானாகவே பணம் சேர்க்கப்பட வேண்டும் என விரும்புகிறேன். இது சாத்தியமா?","Naan travel panna irukiren, kurippitta idaiveligalil thaanaave panam add panna padanum nu virumburen. Ithu saathiyama?",completed,gemini-3.5-flash
Do I have to manually top up once I'm too low?,automatic_top_up,Positive,Low,எனது மீதிப்பணம் மிகவும் குறையும் போது நான் கைமுறையாகவே டொப்-அப் செய்ய வேண்டுமா?,Enoda balance romba kurayum pothu naan manually top-up seyya venduma?,completed,gemini-3.5-flash
How will I know when I can use the auto top-up feature?,automatic_top_up,Neutral,Low,தானியங்கி டொப்-அப் வசதியை நான் எப்போது பயன்படுத்தலாம் என்பதை எவ்வாறு அறிவது?,Auto top-up feature-ai naan eppo use pannalam nu eppadi therinjukirathu?,completed,gemini-3.5-flash
